RecordedDate,Q1,Q1_6_TEXT,Q2
9/19/17 9:27,Blackboad,,Maybe
9/19/17 9:36,Slack,,Maybe
9/19/17 9:37,Blackboad,,Maybe
9/19/17 9:39,LinkedIn,,Yes
9/19/17 10:11,LinkedIn,,Yes
9/19/17 10:22,Slack,,Yes
9/19/17 10:29,LinkedIn,,Yes
9/19/17 10:31,Other (please specify),Slack+linkedin,Yes
9/19/17 10:46,Slack,,Yes
9/19/17 10:49,LinkedIn,,Yes
9/19/17 10:54,Slack,,No
9/19/17 11:19,LinkedIn,,Yes
9/19/17 12:59,Slack,,Maybe
9/19/17 13:01,Slack,,Maybe
9/19/17 13:06,LinkedIn,,Yes
9/19/17 16:16,Github,,Yes
9/19/17 16:48,Github,,Yes
9/19/17 18:06,Blackboad,,Yes
9/19/17 19:04,Slack,,Yes
9/19/17 19:06,LinkedIn,,Maybe
9/19/17 19:08,Facebook,,Maybe
9/19/17 19:14,Blackboad,,Maybe
9/19/17 20:43,Blackboad,,No
9/19/17 22:56,Facebook,,Maybe
9/20/17 0:59,Blackboad,,Yes
9/20/17 3:59,LinkedIn,,Yes
9/20/17 6:50,Blackboad,,Yes
9/20/17 8:11,Blackboad,,Maybe
9/20/17 15:07,Blackboad,,Maybe
9/20/17 15:09,Github,,Yes
9/20/17 18:21,Slack,,Yes
9/20/17 18:43,Blackboad,,Maybe
9/20/17 18:53,Slack,,Yes
9/20/17 19:03,LinkedIn,,Maybe
9/20/17 19:54,Blackboad,,Maybe
